    ,Meal_Id    ,Name                                                                          ,catagory    ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Veg_Non ,Nutrient      ,Disease                                                                                                               ,Diet                                                                                                                                                                                    ,Price
363 ,meal_id249 ,vegetable manchurian                                                          ,tomato      ,"mixed vegetables - chopped fine or grated, eggs (slightly beaten), refined flour, garlic paste, ginger paste, water, oil , garlic , onions , capsicum, cornflour (blended with water), vinegar, salt, soya sauce, tomato puree, celery, ajinomoto (optional), water"                                                                                                                                                                                                                                                                                                   ,veg     ,vitamin_a     ,obesity scurvy kidney_disease heart_disease                                                                           ,low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                              ,  560
367 ,meal_id253 ,double chocolate easter cookies hindi                                         ,cookie      ,"Butter, Brown Sugar, Caster Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems"                                                                                                                                                                                                                                                                                                                                                                                                                                ,veg     ,magnesium     ,diabeties hypertension heart_disease scurvy                                                                           ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  310
370 ,meal_id31  ,baked almond kofta                                                            ,kofta       ,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)"                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,  525
373 ,meal_id243 ,assorted rice kheer sushi                                                     ,kheer       ,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate"                                                                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,magnesium     ,obesity diabeties anemia                                                                                              ,alkaline_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                     ,  395
374 ,meal_id244 ,jalebi with fennel yogurt pudding                                             ,pudding     ,"all purpose flour, yogurt, oil, sugar, water, saffron, green cardamom, yogurt (strained), milk (warm), sugar, nutmeg, cardamom powder"                                                                                                                                                                                                                                                                                                                                                                                                                                 ,veg     ,vitamin_d     ,pregnancy hypertension goitre obesity diabeties                                                                       ,low_fat_diet ketogenic_diet gluten_free_diet high_protien_diet dash_diet                                                                                                                ,  225
376 ,meal_id256 ,apple kheer                                                                   ,kheer       ,"apples, basmati rice, nuscovado sugar (you can also use normal sugar), cashew nuts and almonds, cassia bark or cinnamon stick, red grapes"                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,vitamin_e     ,obesity diabeties                                                                                                     ,high_protien_diet                                                                                                                                                                       ,  355
377 ,meal_id257 ,ragi oats ladoo (laddu)                                                       ,ladoo       ,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,vitamin_e     ,hypertension                                                                                                          ,high_protien_diet dash_diet gluten_free_diet                                                                                                                                            ,  675
379 ,meal_id259 ,ragi coconut ladoo (laddu)                                                    ,ladoo       ,"finger millet flour (ragi), jaggery, peanuts, coconut, salt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,chloride      ,obesity hypertension                                                                                                  ,paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet                                                                                                                    ,  610
380 ,meal_id163 ,red rice vermicelli kheer                                                     ,kheer       ,"Red Rice Vermicelli/ Broken Semolina/ Sooji Vermicelli, Butter, Almonds, Whole Milk, Cardamom Powder, Saffron Threads, Sugar"                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  630
382 ,meal_id260 ,quick chicken curry                                                           ,curry       ,"Chicken, Onion Paste, Tomato, Garlic Paste, Ginger Paste, Coriander Powder, Cumin Powder, Turmeric Powder, Red Chilli Powder, Garam Masala Powder, Oil, Salt, Coriander"                                                                                                                                                                                                                                                                                                                                                                                               ,non-veg ,iron          ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,alkaline_diet low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                           ,  400
386 ,meal_id65  ,almond &amp; white chocolate gujiya                                           ,gujiya      ,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet                                                                                   ,  585
387 ,meal_id53  ,chocolate appo                                                                ,chocolate   ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  475
388 ,meal_id163 ,red rice vermicelli kheer                                                     ,kheer       ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar"                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  315
389 ,meal_id16  ,almond and raw banana galawat                                                 ,banana      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter"                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,selenium      ,anemia hypertension cancer scurvy heart_disease kidney_disease diabeties                                              ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,  485
390 ,meal_id18  ,grilled almond barfi (sugar free)                                             ,barfi       ,"khoya, sweetener (optional), almonds (crushed)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,  360
391 ,meal_id200 ,chocolate kaju katli                                                          ,kaju        ,"cashew nuts, sugar, water, milk chocolate or dark chocolate"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,vitamin_d     ,hypertension heart_disease                                                                                            ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,  530
392 ,meal_id56  ,chocolate samosa                                                              ,samosa      ,"refined flour, desi ghee, black cardamom seeds, chocolate flutter_block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  460
393 ,meal_id21  ,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,calcium       ,obesity diabeties                                                                                                     ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,  555
395 ,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)"                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,  690
396 ,meal_id31  ,baked almond kofta                                                            ,kofta       ,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)"                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,  600
397 ,meal_id32  ,almond and amaranth ladoo                                                     ,ladoo       ,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,calcium       ,hypertension                                                                                                          ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,  355
400 ,meal_id243 ,assorted rice kheer sushi                                                     ,kheer       ,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate"                                                                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,magnesium     ,obesity diabeties anemia                                                                                              ,alkaline_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                     ,  335
401 ,meal_id64  ,chocolate prunes gujiyas                                                      ,chocolate   ,"Flour, ghee, water, salt, dark chocolate, prunes, mawa, sugar, cardamom powder"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  625
402 ,meal_id65  ,almond &amp; white chocolate gujiya                                           ,gujiya      ,"Flour, desi ghee, water, white chocolate, coconut, green cardamom powder, almonds, jaggery."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet                                                                                   ,  390
403 ,meal_id163 ,red rice vermicelli kheer                                                     ,kheer       ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar"                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  260
404 ,meal_id21  ,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,calcium       ,obesity diabeties                                                                                                     ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,  245
406 ,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)"                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,  265
408 ,meal_id265 ,arbi kofta with mint yogurt dip                                               ,dip         ,"arbi/colocasia roots, water chestnut flour (kuttu ka aata), green chili, ginger, carom seeds, rock salt, oil, mint, curd, cucumber, pomegranate"                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,calcium       ,obesity diabeties hypertension pregnancy                                                                              ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet                                                                                                     ,  655
409 ,meal_id266 ,puffed rice squares                                                           ,rice        ,"puffed rice, nuts, honey, jaggery, butter, kewda to flavor, cardamom powder"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,carbohydrates ,obesity diabeties anemia                                                                                              ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,  375
410 ,meal_id257 ,ragi oats ladoo (laddu)                                                       ,ladoo       ,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,vitamin_e     ,hypertension                                                                                                          ,high_protien_diet dash_diet gluten_free_diet                                                                                                                                            ,  550
411 ,meal_id259 ,ragi coconut ladoo (laddu)                                                    ,ladoo       ,"finger millet flour (ragi), jaggery, peanuts, coconut, salt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,chloride      ,obesity hypertension                                                                                                  ,paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet                                                                                                                    ,  515
412 ,meal_id267 ,red velvet banana pudding                                                     ,pudding     ,"one can of sweetened condensed milk, ice cold water, instant vanilla pudding mix, cream cheese (softened and cut into 8 pieces), heavy cream, one 9 x 13 inch layer of red velvet cakcake, ripe bananas, mini chocolate chips, sugar, cocoa, cake flour, baking soda, salt, butter (room temp cut into 1 inch pieces), eggs, milk, sour cream, cider vinegar, vanilla extract, red food coloring, all-purpose flour, milk, unsalted butter (room temperature), sugar, vanilla extract"                                                                                 ,veg     ,calcium       ,anemia pregnancy hypertension cancer scurvy goitre kidney_disease obesity diabeties                                   ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                        ,  265
415 ,meal_id48  ,almond and chicken momos (without shell)                                      ,chicken     ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)"                                                                                                                                                                                                                                                                                                                                                                                                                ,non-veg ,calcium       ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,  550
416 ,meal_id213 ,berry parfait hazelnut white chocolate sable                                  ,chocolate   ,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin"                                                                                                                                                                                                      ,veg     ,vitamin_a     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,  255
420 ,meal_id51  ,christmas chocolate fudge cookies                                             ,cookie      ,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  255
422 ,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  545
424 ,meal_id53  ,chocolate appo                                                                ,chocolate   ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  645
426 ,meal_id15  ,almond and cranberry poha                                                     ,poha        ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut"                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,iron          ,hypertension                                                                                                          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,  260
427 ,meal_id17  ,baked namakpara with roasted almond dip                                       ,dip         ,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water"                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,calcium       ,goitre hypertension kidney_disease                                                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                 ,  490
428 ,meal_id184 ,vegetable bruschetta                                                          ,bruschetta  ,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese"                                                                                                                                                                                                                                                                                                                                              ,veg     ,calcium       ,obesity scurvy kidney_disease heart_disease                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,  340
431 ,meal_id271 ,californian breakfast benedict                                                ,sauce       ,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce"                                                                                                                                                                                                                                                                                                                                                                                                                                   ,veg     ,protien       ,obesity rickets hypertension                                                                                          ,high_protien_diet                                                                                                                                                                       ,  375
432 ,meal_id272 ,chocolate marquise                                                            ,chocolate   ,"dark chocolate (melted), castor sugar, egg yolk, egg, cocoa powder, coffee, cream, berries, dark chocolate, fresh cream"                                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,vitamin_a     ,hypertension heart_disease                                                                                            ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,  235
433 ,meal_id273 ,corn &amp; jalapeno poppers                                                   ,corn        ,"fresh corn kernels, corn flour, whole egg, cheddar cheese, jalapeno poppers, smoked paprika, coriander (toasted & ground), green onions, fresh cilantro, lemon (zest and juice), cooking oil"                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,iron          ,diabeties goitre                                                                                                      ,low_fat_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                                              ,  430
434 ,meal_id274 ,banana phirni tartlets with fresh strawberries                                ,banana      ,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water"                                                                                                                                                                                                                                                                                                                                                                                         ,veg     ,vitamin_c     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets kidney_disease obesity diabeties                    ,alkaline_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                    ,  570
435 ,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"Cashew Paste, Ghee, Sugar, Flax or Chia Seeds, Baking Soda, Baking Powder, Vanilla, Oats, Maida Organic"                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,  330
436 ,meal_id207 ,spiced almond banana jaggery cake                                             ,cake        ,"Butter, cinnamon jaggery powder, nutmeg (ground), almonds, sugar, eggs, orange peel, banana, flour, baking soda, baking powder, salt, buttermilk, ground cinnamon"                                                                                                                                                                                                                                                                                                                                                                                                     ,veg     ,potassium     ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                                   ,  685
